Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:12:27   1.7   0.0   5.2  93.1   0.0    2  14846   6724  864  864  864   7.28 
16:12:28   1.6   0.0   5.2  93.1   0.0    2  14779   6395  875  875  875   7.28 
16:12:29   1.7   0.0   5.1  93.2   0.0    3  14582   6295  873  872  873   7.28 
16:12:30   1.4   0.0   5.5  93.1   0.0    2  14947   6585  876  877  876   7.28 
16:12:31   1.5   0.0   5.4  93.2   0.0    1  14914   6645  873  873  873   7.30 
16:12:32   1.5   0.0   5.3  93.3   0.0    2  14606   6495  868  867  868   7.30 
16:12:33   1.5   0.0   5.4  93.0   0.1    2  14664   6613  867  868  867   7.32 
16:12:34   1.6   0.0   5.4  93.0   0.0    2  14835   6585  869  869  869   7.36 
16:12:35   1.5   0.0   5.4  93.1   0.0    2  14763   6801  867  867  867   7.36 
16:12:36   2.1   0.0   5.2  92.7   0.0    2  14687   6792  859  859  859   7.41 
16:12:37   1.5   0.0   5.5  93.0   0.0    2  14681   6607  869  869  870   7.41 
16:12:38   1.6   0.0   5.2  93.2   0.0    2  14745   6674  870  870  869   7.41 
16:12:39   1.8   0.0   5.1  93.2   0.0    2  14732   6854  862  862  862   7.41 
16:12:40   1.3   0.0   5.8  92.9   0.0    2  14479   6474  868  868  868   7.38 
16:12:41   2.0   0.0   4.7  93.3   0.0    3  14653   6538  881  881  881   7.38 
16:12:42   1.9   0.0   4.8  93.3   0.0    2  14738   7121  856  856  856   7.37 
16:12:43   1.5   0.0   5.3  93.2   0.0    4  14532   6988  850  850  850   7.36 
16:12:44   1.9   0.0   4.9  93.2   0.0    2  14680   6880  873  872  873   7.36 
16:12:45   1.8   0.0   5.1  93.2   0.0    2  14530   6893  860  861  860   7.35 
16:12:46   1.6   0.0   5.3  93.1   0.0    2  14698   6857  876  876  878   7.35 
16:12:47   1.8   0.0   5.3  92.9   0.0    3  14736   7123  866  866  866   7.32 
16:12:48   1.6   0.0   5.3  93.0   0.0    2  14672   6923  878  877  878   7.32 
16:12:49   1.8   0.0   5.1  93.2   0.0    2  14622   7011  870  870  870   7.31 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:12:50   1.5   0.0   5.5  93.1   0.0    2  14611   7072  865  865  865   7.31 
16:12:51   1.6   0.0   5.5  92.8   0.0    2  14787   7059  883  883  883   7.30 
16:12:52   1.5   0.0   5.1  93.4   0.0    3  14585   7177  866  867  866   7.30 
16:12:53   1.6   0.0   5.2  93.2   0.0    3  14525   7151  872  872  872   7.29 
16:12:54   1.9   0.0   5.2  92.9   0.0    3  14638   6926  887  887  888   7.28 
16:12:55   1.8   0.0   4.9  93.2   0.0    2  14532   7052  874  874  873   7.28 
16:12:56   1.8   0.0   5.1  93.1   0.0    2  14692   7242  876  875  876   7.26 
16:12:57   1.6   0.0   5.5  92.9   0.0    2  14491   7290  865  865  865   7.26 
16:12:58   1.8   0.0   5.4  92.8   0.0    2  14811   7653  857  858  857   7.25 
16:12:59   1.6   0.0   5.4  93.0   0.0    2  14904   7524  871  870  871   7.25 
16:13:00   1.9   0.0   5.0  93.1   0.0    2  14493   7020  872  873  872   7.24 
16:13:01   1.6   0.0   5.1  93.3   0.0    2  14403   7162  869  869  869   7.24 
16:13:02   1.9   0.0   5.2  92.9   0.0    2  14615   7407  865  864  865   7.24 
16:13:03   1.6   0.0   5.3  93.2   0.0    2  14895   7912  862  863  862   7.23 
16:13:04   1.6   0.0   5.0  93.3   0.0    2  14361   6627  852  852  852   7.23 
16:13:05   1.7   0.0   5.3  93.0   0.0    2  14545   6553  856  856  856   7.23 
16:13:06   1.5   0.0   5.3  93.2   0.0    3  14410   6538  856  856  856   7.23 
